Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
Januari,"13,343.00","11,774.10",0,0,"16,700.77",0,"13,420.20","9,402.12","3,012.31","1,719.86","10,100.00","10,189.39"
2016,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,436.00","11,540.48",0,0,"16,507.50",0,"13,177.76","9,298.92","2,996.10","1,732.47","9,724.31","9,971.43"
November,"13,563.00","12,080.17",0,0,"16,925.95",0,"13,403.53","9,525.59","3,037.98","3,037.98","10,151.91","10,102.80"
Oktober,"13,051.00","12,444.94",0,0,"15,896.78",0,"13,198.19","9,371.68","3,103.33","1,682.95","9,916.81","9,726.49"
September,"12,998.00","12,873.78",0,0,"16,847.37",0,"13,456.22","9,521.66","3,136.59","1,676.08","9,911.63","9,879.91"
Agustus,"13,300.00","12,917.02",0,0,"17,425.01",0,"13,530.73","9,758.26","3,283.56","1,714.55","10,012.92","10,161.99"
Juli,"13,094.00","12,587.98",0,0,"17,270.35",0,"13,369.42","9,699.27","3,228.71","1,688.30","9,872.22","9,965.76"
Juni,"13,180.00","12,831.02",0,0,"17,682.30",0,"13,454.52","9,770.57","3,278.21","1,698.77","9,816.47","10,186.27"
Mei,"13,615.00","12,256.39",0,0,"19,998.40",0,"13,726.91","9,873.82","3,310.65","1,752.57","9,852.51","10,448.97"
April,"13,204.00","12,301.68",0,0,"19,335.96",0,"13,693.58","9,832.09","3,394.79","1,702.07","10,090.50","10,533.30"
Maret,"13,276.00","11,818.24",0,0,"19,057.71",0,"13,746.86","9,830.09","3,389.34","1,712.12","10,162.13","10,221.75"
Februari,"13,395.00","11,814.79",0,0,"18,562.80",0,"13,446.12","9,492.61","3,164.06","1,722.69","9,540.61","9,899.14"
Januari,"13,846.00","11,675.04",0,0,"19,875.26",0,"13,645.45","9,707.31","3,329.58","1,776.71","9,826.51","9,863.94"
2015,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,795.00","11,452.42",0,0,"20,451.11",0,"13,951.29","9,751.19","3,209.65","1,779.83","10,064.16","9,948.09"
November,"13,840.00","11,273.58",0,0,"20,791.85",0,"13,420.64","9,783.70","3,239.71","1,785.75","9,939.21","10,342.64"
Oktober,"13,639.00","11,279.84",0,0,"20,894.28",0,"13,792.10","9,732.43","3,168.19","1,759.84","9,685.75","10,364.78"
September,"14,657.00","12,232.01",0,0,"22,208.30",0,"15,081.56","10,274.45","3,297.05","1,891.21","10,270.17","10,916.89"
Agustus,"14,027.00","11,574.88",0,0,"21,645.08",0,"14,605.41","9,937.31","3,343.76","1,809.88","10,005.47","10,593.21"
Juli,"13,481.00","10,873.97",0,0,"21,035.77",0,"13,928.81","9,813.65","3,532.76","1,739.04","9,845.85","10,372.79"
Juni,"13,332.00","10,895.72",0,0,"20,969.92",0,"14,380.36","9,894.62","3,526.99","1,719.77","10,217.66","10,733.88"
Mei,"13,211.00","10,682.04",0,0,"20,254.45",0,"14,014.77","9,806.28","3,626.41","1,703.93","10,129.55","10,635.17"
April,"12,937.00","10,888.36",0,0,"19,959.22",0,"13,761.33","9,795.19","3,640.64","1,669.19","10,334.75","10,753.96"
Maret,"13,084.00","10,894.72",0,0,"19,357.14",0,"13,515.85","9,508.03","3,523.84","1,687.25","10,002.74","10,310.90"
Februari,"12,863.00","10,784.32",0,0,"19,841.20",0,"13,503.07","9,480.40","3,561.69","1,658.64","10,011.94","10,284.64"
Januari,"12,625.00","10,699.16",0,0,"19,035.36",0,"13,687.16","9,338.36","3,481.33","1,628.57","9,829.84","10,002.38"
2014,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"12,440.00","10,424.88",0,0,"19,370.34",0,"12,582.82","9,422.11","3,561.93","1,603.67","10,218.23","10,734.33"
November,"12,196.00","10,322.48",0,0,"19,178.22",0,"12,643.60","9,366.06","3,623.84","1,573.09","10,391.00","10,755.81"
Oktober,"12,082.00","11,043.38",0,0,"19,317.92",0,"12,626.86","9,454.58","3,680.18","1,557.91","10,662.98","10,790.41"
September,"12,212.00","11,170.37",0,0,"19,835.35",0,"12,840.56","9,585.18","3,728.86","1,572.82","10,654.98","10,952.48"
Agustus,"11,717.00","11,297.31",0,0,"19,432.06",0,"12,800.58","9,382.23","3,712.03","1,511.84","10,960.67","10,791.14"
Juli,"11,591.00","11,390.00",0,0,"19,691.00",0,"12,843.00","9,342.00","3,646.00","1,496.00","10,914.00","10,789.00"
Juni,"11,969.00","11,815.00",0,0,"20,380.00",0,"13,435.00","9,583.00","3,729.00","1,544.00","11,265.00","11,215.00"
Mei,"11,611.00","11,435.00",0,0,"19,422.00",0,"12,938.00","9,254.00","3,610.00","1,498.00","10,818.00","10,718.00"
April,"11,532.00","11,261.00",0,0,"19,403.00",0,"13,048.00","9,178.00","3,533.00","1,487.00","10,699.00","10,531.00"
Maret,"11,404.00","11,165.00",0,0,"18,956.00",0,"12,860.00","9,050.00","3,482.00","1,470.00","10,594.00","10,358.00"
Februari,"11,634.00","11,419.00",0,0,"19,410.00",0,"13,098.00","9,193.00","3,549.00","1,499.00","10,433.00","10,459.00"
Januari,"12,226.00","11,955.00",0,0,"20,240.00",0,"13,652.00","9,578.00","3,654.00","1,574.00","10,669.00","10,933.00"
2013,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"12,189.00","11,617.00",0,0,"20,097.00",0,"13,732.00","9,628.00","3,708.00","1,572.00","10,876.00","11,443.00"
November,"11,977.00","11,680.00",0,0,"19,596.00",0,"13,234.00","9,537.00","3,712.00","1,545.00","10,858.00","11,299.00"
Oktober,"11,234.00","11,415.00",0,0,"18,014.00",0,"12,490.00","9,068.00","3,561.00","1,449.00","10,675.00","10,723.00"
September,"11,613.00","11,869.00",0,0,"18,770.00",0,"12,826.00","9,234.00","3,564.00","1,498.00","10,798.00","11,262.00"
Agustus,"10,924.00","11,129.00",0,0,"16,950.00",0,"11,745.00","8,563.00","3,307.00","1,409.00","9,766.00","10,372.00"
Juli,"10,278.00","10,486.00",0,0,"15,660.00",0,"11,061.00","8,086.00","3,166.00","1,325.00","9,296.00","9,983.00"
Juni,"9,929.00","10,035.00",0,0,"15,159.00",0,"10,526.00","7,841.00","3,124.00","1,280.00","9,184.00","9,473.00"
Mei,"9,802.00","9,705.00",0,0,"14,927.00",0,"10,276.00","7,786.00","3,185.00","1,263.00","9,476.00","9,516.00"
April,"9,722.00","9,925.00",0,0,"15,055.00",0,"10,368.00","7,879.00","3,207.00","1,253.00","10,057.00","9,606.00"
Maret,"9,719.00","10,323.00",0,0,"14,714.00",0,"10,191.00","7,816.00","3,133.00","1,252.00","10,130.00","9,564.00"
Februari,"9,667.00","10,460.00",0,0,"14,663.00",0,"10,405.00","7,822.00","3,125.00","1,246.00","9,926.00","9,451.00"
Januari,"9,698.00","10,676.00",0,0,"15,325.00",0,"10,655.00","7,834.00","3,133.00","1,250.00","10,113.00","9,677.00"
2012,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,670.00","11,197.00",0,0,"15,579.00",0,"10,597.00","7,907.00","3,160.00","1,247.00","10,025.00","9,722.00"
November,"9,605.00","11,644.00",0,0,"15,412.00",0,"10,369.00","7,872.00","3,156.00","1,239.00","10,011.00","9,674.00"
Oktober,"9,615.00","12,090.00",0,0,"15,461.00",0,"10,319.00","7,882.00","3,149.00","1,241.00","9,984.00","9,621.00"
September,"9,588.00","12,364.00",0,0,"15,586.00",0,"10,251.00","7,826.00","3,132.00","1,237.00","10,038.00","9,794.00"
Agustus,"9,560.00","12,174.00",0,0,"15,097.00",0,"9,963.00","7,631.00","3,060.00","1,233.00","9,838.00","9,634.00"
Juli,"9,485.00","12,135.00",0,0,"14,911.00",0,"9,688.00","7,616.00","3,013.00","1,223.00","9,974.00","9,477.00"
Juni,"9,480.00","11,963.00",0,0,"14,732.00",0,"9,826.00","7,415.00","2,967.00","1,222.00","9,524.00","9,181.00"
Mei,"9,565.00","12,141.00",0,0,"14,803.00",0,"9,851.00","7,425.00","3,007.00","1,232.00","9,284.00","9,292.00"
April,"9,190.00","11,467.00",0,0,"14,961.00",0,"10,128.00","7,425.00","3,029.00","1,184.00","9,604.00","9,370.00"
Maret,"9,180.00","11,176.00",0,0,"14,670.00",0,"10,168.00","7,309.00","2,996.00","1,182.00","9,555.00","9,218.00"
Februari,"9,085.00","11,275.00",0,0,"14,466.00",0,"10,156.00","7,287.00","3,031.00","1,171.00","9,827.00","9,144.00"
Januari,"9,000.00","11,792.00",0,0,"14,152.00",0,"9,836.00","7,176.00","2,954.00","1,160.00","9,573.00","8,997.00"
2011,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,068.00","11,680.00",0,0,"13,969.00",0,"9,636.00","6,974.00","2,853.00","1,167.00","9,203.00","8,882.00"
November,"9,170.00","11,772.00",0,0,"14,315.00",0,"9,975.00","7,090.00","2,896.00","1,177.00","9,225.00","8,898.00"
Oktober,"8,835.00","11,186.00",0,0,"14,162.00",0,"10,172.00","7,092.00","2,887.00","1,138.00","9,348.00","8,866.00"
September,"8,823.00","11,524.00",0,0,"13,764.00",0,"9,810.00","6,796.00","2,768.00","1,132.00","8,611.00","8,498.00"
Agustus,"8,578.00","11,099.00",0,0,"13,981.00",0,"10,816.00","7,103.00","2,871.00","1,100.00","8,990.00","8,693.00"
Juli,"8,508.00","10,955.00",0,0,"13,900.00",0,"10,609.00","7,065.00","2,879.00","1,092.00","9,336.00","8,941.00"
Juni,"8,597.00","10,672.00",0,0,"13,835.00",0,"10,334.00","6,985.00","2,846.00","1,105.00","9,220.00","8,884.00"
Mei,"8,537.00","10,522.00",0,0,"14,110.00",0,"10,055.00","6,929.00","2,838.00","1,097.00","9,162.00","8,764.00"
April,"8,574.00","10,513.00",0,0,"14,280.00",0,"9,815.00","6,987.00","2,883.00","1,103.00","9,352.00","9,014.00"
Maret,"8,709.00","10,514.00",0,0,"14,026.00",0,"9,484.00","6,906.00","2,879.00","1,118.00","9,001.00","8,972.00"
Februari,"8,823.00","10,795.00",0,0,"14,190.00",0,"9,499.00","6,916.00","2,888.00","1,132.00","8,940.00","9,022.00"
Januari,"9,057.00","11,036.00",0,0,"14,359.00",0,"9,622.00","7,046.00","2,926.00","1,162.00","8,982.00","9,052.00"
2010,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"8,991.00","11,029.00",0,0,"13,894.00",0,"9,600.00","6,981.00","2,916.00","1,155.00","9,143.00","8,987.00"
November,"9,013.00","10,713.00",0,0,"14,035.00",0,"9,028.00","6,843.00","2,858.00","1,161.00","8,701.00","8,860.00"
Oktober,"8,928.00","11,080.00",0,0,"14,235.00",0,"9,072.00","6,880.00","2,873.00","1,151.00","8,722.00","8,746.00"
September,"8,924.00","10,677.00",0,0,"14,112.00",0,"9,129.00","6,774.00","2,892.00","1,150.00","8,630.00","8,636.00"
Agustus,"9,041.00","10,714.00",0,0,"13,979.00",0,"8,833.00","6,664.00","2,878.00","1,162.00","8,079.00","8,526.00"
Juli,"8,952.00","10,350.00",0,0,"13,997.00",0,"8,603.00","6,569.00","2,808.00","1,153.00","8,050.00","8,646.00"
Juni,"9,083.00","10,258.00",0,0,"13,680.00",0,"8,385.00","6,481.00","2,784.00","1,167.00","8,620.00","8,620.00"
Mei,"9,180.00","10,040.00",0,0,"13,297.00",0,"7,946.00","6,546.00","1,178.00","1,178.00","8,738.00","8,738.00"
April,"9,012.00","9,574.00",0,0,"13,815.00",0,"8,316.00","6,583.00","2,823.00","1,161.00","8,378.00","8,969.00"
Maret,"9,115.00","9,771.00",0,0,"13,738.00",0,"8,536.00","6,505.00","2,784.00","1,174.00","8,344.00","8,960.00"
Februari,"9,335.00","10,231.00",0,0,"14,352.00",0,"8,606.00","6,616.00","2,742.00","1,202.00","8,326.00","8,856.00"
Januari,"9,365.00","10,410.00",0,0,"15,114.00",0,"8,900.00","6,664.00","2,740.00","1,206.00","8,362.00","8,774.00"
2009,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,400.00","10,170.00",0,0,"15,114.00",0,"9,087.00","6,699.00","2,747.00","1,212.00","8,432.00","8,936.00"
November,"9,480.00","10,933.00",0,0,"15,718.00",0,"9,456.00","6,857.00","2,796.00","1,223.00","8,692.00","8,981.00"
Oktober,"9,545.00","10,454.00",0,0,"15,814.00",0,"9,377.00","6,834.00","2,802.00","1,232.00","8,727.00","8,941.00"
September,"9,681.00","10,779.00",0,0,"15,506.00",0,"9,365.00","6,841.00","2,782.00","1,249.00","8,509.00","8,951.00"
Agustus,"10,060.00","10,850.00",0,0,"16,350.00",0,"9,498.00","6,980.00","2,857.00","1,298.00","8,465.00","9,197.00"
Juli,"9,920.00","10,412.00",0,0,"16,386.00",0,"9,140.00","6,882.00","2,819.00","1,280.00","8,204.00","9,175.00"
Juni,"10,225.00","10,659.00",0,0,"16,990.00",0,"9,458.00","7,055.00","2,902.00","1,319.00","8,291.00","8,850.00"
Mei,"10,340.00","10,729.00",0,0,"16,508.00",0,"9,567.00","7,124.00","3,948.00","1,334.00","8,139.00","9,301.00"
April,"10,713.00","10,975.00",0,0,"15,856.00",0,"9,455.00","7,222.00","3,003.00","1,382.00","7,792.00","8,938.00"
Maret,"11,575.00","11,794.00",0,0,"16,559.00",0,"10,094.00","7,617.00","3,172.00","1,494.00","7,949.00","9,210.00"
Februari,"11,980.00","12,266.00",0,0,"17,092.00",0,"10,280.00","7,776.00","3,249.00","1,545.00","7,732.00","9,545.00"
Januari,"11,355.00","12,676.00",0,0,"16,153.00",0,"9,842.00","7,528.00","3,146.00","1,464.00","7,327.00","9,241.00"
2008,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"10,950.00","12,123.00",0,0,"15,803.00",0,"10,349.00","7,607.00","3,153.00","1,413.00","7,556.00","8,978.00"
November,"12,151.00","12,743.00",0,0,"18,708.00",0,"10,116.00","8,068.00","3,361.00","1,567.00","7,951.00","9,827.00"
Oktober,"10,995.00","11,194.00",0,0,"17,927.00",0,"9,630.00","7,433.00","3,088.00","1,418.00","7,324.00","9,043.00"
September,"9,378.00","8,853.00",0,0,"17,279.00",0,"8,644.00","6,594.00","2,731.00","1,205.00","7,844.00","9,076.00"
Agustus,"9,153.00","8,390.00",0,0,"16,765.00",0,"8,360.00","6,460.00","2,698.00","1,172.00","7,916.00","8,711.00"
